,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,BsmtFinSF1_nan,BsmtFinSF2_nan,BsmtUnfSF_nan,TotalBsmtSF_nan,BsmtFullBath_nan,BsmtHalfBath_nan,GarageYrBlt_nan,GarageCars_nan,GarageArea_nan
10,11,20,2,70.0,11200,1,0,1,1,0,0,4,2,1,4,4,5,5,43,43,2,0,3,4,0,0.0,1,2,2,2,3,1,1,906.0,4,0.0,134.0,1040.0,1,4,1,2,1040,0,0,1040,1.0,0.0,1,0,3,1,1,5,3,0,0,1,43.0,1,1.0,384.0,2,3,2,0,0,0,0,0,0,0,2,2008,2,2,129500.0,0,0,0,0,0,0,0,0,0,0,0
11,12,60,2,85.0,11924,1,1,1,1,0,0,15,2,1,4,5,9,5,1,0,2,0,0,2,3,286.0,3,2,3,4,3,1,6,998.0,4,0.0,177.0,1175.0,1,4,1,2,1182,1142,0,2324,1.0,0.0,3,0,4,1,3,11,3,2,3,4,1.0,3,3.0,736.0,2,3,2,147,21,0,0,0,0,0,7,2006,3,3,345000.0,0,0,0,0,0,0,0,0,0,0,0
12,13,20,2,68.0,12968,1,3,1,1,0,0,4,2,1,4,4,5,6,46,46,2,0,3,5,0,0.0,1,2,2,2,3,1,4,737.0,4,0.0,175.0,912.0,1,2,1,2,912,0,0,912,1.0,0.0,1,0,2,1,1,4,3,0,0,1,46.0,1,1.0,352.0,2,3,2,140,0,0,0,176,0,0,9,2008,2,2,144000.0,1,0,0,0,0,0,0,0,0,0,0
13,14,20,2,91.0,10652,1,1,1,1,0,0,11,2,1,4,4,7,5,1,0,0,0,6,6,3,306.0,2,2,3,3,3,3,5,0.0,4,0.0,1494.0,1494.0,1,4,1,2,1494,0,0,1494,0.0,0.0,2,0,3,1,2,7,3,1,3,3,1.0,2,3.0,840.0,2,3,2,160,33,0,0,0,0,0,8,2007,3,3,279500.0,0,0,0,0,0,0,0,0,0,0,0
14,15,20,2,68.0,10920,1,1,1,1,2,0,5,2,1,4,4,6,5,48,48,2,0,1,1,2,212.0,1,2,2,2,3,1,2,733.0,4,0.0,520.0,1253.0,1,2,1,2,1253,0,0,1253,1.0,0.0,1,1,2,1,1,5,3,1,1,3,48.0,2,1.0,352.0,2,3,2,0,213,176,0,0,0,0,5,2008,2,2,157000.0,1,0,0,0,0,0,0,0,0,0,0
15,16,45,1,51.0,6120,1,0,1,1,2,0,1,2,1,4,2,7,8,78,6,0,0,2,0,0,0.0,1,2,1,2,3,1,5,0.0,4,0.0,832.0,832.0,1,4,1,1,854,0,0,854,0.0,0.0,1,0,2,1,1,5,3,0,0,1,16.0,1,2.0,576.0,2,3,2,48,112,0,0,0,0,0,7,2007,2,2,132000.0,0,0,0,0,0,0,0,0,0,0,0
16,17,20,2,68.0,11241,1,1,1,1,4,0,5,2,1,4,4,6,7,40,40,0,0,2,0,2,180.0,1,2,2,2,3,1,4,578.0,4,0.0,426.0,1004.0,1,4,1,2,1004,0,0,1004,1.0,0.0,1,0,2,1,1,5,3,1,2,3,40.0,3,2.0,480.0,2,3,2,0,0,0,0,0,0,700,3,2010,2,2,149000.0,1,0,0,0,0,0,0,0,0,0,0
17,18,90,2,72.0,10791,1,0,1,1,0,0,4,2,1,1,4,4,5,39,39,0,0,1,1,0,0.0,1,2,0,0,1,0,0,0.0,0,0.0,0.0,0.0,1,2,1,2,1296,0,0,1296,0.0,0.0,2,0,2,2,1,6,3,0,0,2,39.0,1,2.0,516.0,2,3,2,0,0,0,0,0,0,500,10,2006,2,2,90000.0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,2,66.0,13695,1,0,1,1,0,0,7,3,1,4,4,5,5,4,4,0,0,6,6,0,0.0,1,2,3,2,3,1,6,646.0,4,0.0,468.0,1114.0,1,4,1,2,1114,0,0,1114,1.0,0.0,1,1,3,1,2,6,3,0,0,1,4.0,1,2.0,576.0,2,3,2,0,102,0,0,0,0,0,6,2008,2,2,159000.0,0,0,0,0,0,0,0,0,0,0,0
19,20,20,2,70.0,7560,1,0,1,1,0,0,5,2,1,4,4,5,6,51,44,2,0,5,5,0,0.0,1,2,2,2,3,1,3,504.0,4,0.0,525.0,1029.0,1,2,1,2,1339,0,0,1339,0.0,0.0,1,0,3,1,1,6,1,0,0,3,51.0,1,1.0,294.0,2,3,2,0,0,0,0,0,0,0,5,2009,0,0,139000.0,0,0,0,0,0,0,0,0,0,0,0
20,21,60,2,101.0,14215,1,1,1,1,2,0,15,2,1,4,5,8,5,1,0,0,0,6,6,2,380.0,2,2,3,4,3,3,5,0.0,4,0.0,1158.0,1158.0,1,4,1,2,1158,1218,0,2376,0.0,0.0,3,1,4,1,2,9,3,1,3,4,1.0,2,3.0,853.0,2,3,2,240,154,0,0,0,0,0,11,2006,3,3,325300.0,0,0,0,0,0,0,0,0,0,0,0
21,22,45,1,57.0,7449,1,0,0,1,0,0,0,2,1,4,2,7,7,77,57,0,0,2,0,0,0.0,1,2,3,2,3,1,5,0.0,4,0.0,637.0,637.0,1,4,1,0,1108,0,0,1108,0.0,0.0,1,0,3,1,2,6,3,1,3,3,77.0,1,1.0,280.0,2,3,0,0,0,205,0,0,0,0,6,2007,2,2,139400.0,0,0,0,0,0,0,0,0,0,0,0
22,23,20,2,75.0,9742,1,0,1,1,0,0,11,2,1,4,4,8,5,6,6,2,0,6,6,2,281.0,2,2,3,3,3,1,5,0.0,4,0.0,1777.0,1777.0,1,4,1,2,1795,0,0,1795,0.0,0.0,2,0,3,1,2,7,3,1,3,3,6.0,2,2.0,534.0,2,3,2,171,159,0,0,0,0,0,9,2008,2,2,230000.0,0,0,0,0,0,0,0,0,0,0,0
23,24,120,1,44.0,4224,1,0,1,1,0,0,8,2,1,3,4,5,7,31,31,0,0,7,7,0,0.0,1,2,3,3,3,1,6,840.0,4,0.0,200.0,1040.0,1,2,1,2,1060,0,0,1060,1.0,0.0,1,0,3,1,1,6,3,1,2,3,31.0,1,2.0,572.0,2,3,2,100,110,0,0,0,0,0,6,2007,2,2,129900.0,0,0,0,0,0,0,0,0,0,0,0
24,25,20,2,68.0,8246,1,1,1,1,0,0,4,2,1,4,4,5,8,42,9,0,0,4,5,0,0.0,1,1,2,2,3,2,1,188.0,5,668.0,204.0,1060.0,1,4,1,2,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,3,1,2,3,42.0,1,1.0,270.0,2,3,2,406,90,0,0,0,0,0,5,2010,2,2,154000.0,1,0,0,0,0,0,0,0,0,0,0
25,26,20,2,110.0,14230,1,0,1,1,2,0,15,2,1,4,4,8,5,2,2,0,0,6,6,3,640.0,2,2,3,3,3,1,5,0.0,4,0.0,1566.0,1566.0,1,4,1,2,1600,0,0,1600,0.0,0.0,2,0,3,1,2,7,3,1,3,3,2.0,2,3.0,890.0,2,3,2,0,56,0,0,0,0,0,7,2009,2,2,256300.0,0,0,0,0,0,0,0,0,0,0,0
26,27,20,2,60.0,7200,1,0,1,1,2,0,5,2,1,4,4,5,7,59,10,0,0,2,0,0,0.0,1,2,2,2,3,2,2,234.0,3,486.0,180.0,900.0,1,2,1,2,900,0,0,900,0.0,1.0,1,0,3,1,2,5,3,0,0,1,5.0,1,2.0,576.0,2,3,2,222,32,0,0,0,0,0,5,2010,2,2,134800.0,0,0,0,0,0,0,0,0,0,0,0
27,28,20,2,98.0,11478,1,0,1,1,0,0,15,2,1,4,4,8,5,3,2,0,0,6,6,3,200.0,2,2,3,4,3,1,6,1218.0,4,0.0,486.0,1704.0,1,4,1,2,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,3,1,3,3,2.0,2,3.0,772.0,2,3,2,0,50,0,0,0,0,0,5,2010,2,2,306000.0,0,0,0,0,0,0,0,0,0,0,0
28,29,20,2,47.0,16321,1,1,1,1,4,0,5,2,1,4,4,5,6,49,9,0,0,1,1,0,0.0,1,2,2,2,3,4,2,1277.0,4,0.0,207.0,1484.0,1,2,1,2,1600,0,0,1600,1.0,0.0,1,0,2,1,1,6,3,2,3,3,49.0,2,1.0,319.0,2,3,2,288,258,0,0,0,0,0,12,2006,2,2,207500.0,0,0,0,0,0,0,0,0,0,0,0
29,30,30,1,60.0,6324,1,1,1,1,0,0,1,1,0,4,4,4,6,81,58,0,0,1,1,0,0.0,1,2,1,2,3,1,5,0.0,4,0.0,520.0,520.0,1,1,0,2,520,0,0,520,0.0,0.0,1,0,1,1,0,4,3,0,0,1,88.0,1,1.0,240.0,1,3,2,49,0,87,0,0,0,0,5,2008,2,2,68500.0,0,0,0,0,0,0,0,0,0,0,0
30,31,70,0,50.0,8500,1,0,1,1,0,0,0,1,1,4,5,4,4,88,58,1,0,5,3,0,0.0,1,0,1,2,3,1,5,0.0,4,0.0,649.0,649.0,1,2,0,2,649,668,0,1317,0.0,0.0,1,0,3,1,1,6,3,0,0,1,88.0,1,1.0,250.0,2,1,0,0,54,172,0,0,0,0,7,2008,2,2,40000.0,0,0,0,0,0,0,0,0,0,0,0
31,32,20,2,68.0,8544,1,1,1,1,4,0,4,2,1,4,4,5,6,42,2,0,0,3,4,0,0.0,1,2,2,2,3,1,5,0.0,4,0.0,1228.0,1228.0,1,3,1,2,1228,0,0,1228,0.0,0.0,1,1,3,1,2,6,3,0,0,3,42.0,1,1.0,271.0,2,3,2,0,65,0,0,0,0,0,6,2008,2,2,149350.0,1,0,0,0,0,0,0,0,0,0,0
32,33,20,2,85.0,11049,1,0,1,1,2,0,11,2,1,4,4,8,5,1,1,0,0,6,6,0,0.0,2,2,3,4,3,3,5,0.0,4,0.0,1234.0,1234.0,1,4,1,2,1234,0,0,1234,0.0,0.0,2,0,3,1,2,7,3,0,0,3,1.0,2,2.0,484.0,2,3,2,0,30,0,0,0,0,0,1,2008,2,2,179900.0,0,0,0,0,0,0,0,0,0,0,0
33,34,20,2,70.0,10552,1,1,1,1,0,0,5,2,1,4,4,5,5,51,51,2,0,5,3,0,0.0,1,2,2,2,3,1,1,1018.0,4,0.0,380.0,1398.0,1,3,1,2,1700,0,0,1700,0.0,1.0,1,1,4,1,2,6,3,1,3,3,51.0,2,2.0,447.0,2,3,2,0,38,0,0,0,0,0,4,2010,2,2,165500.0,0,0,0,0,0,0,0,0,0,0,0
34,35,120,2,60.0,7313,1,0,1,1,0,0,15,2,1,3,4,9,5,2,2,2,0,1,1,2,246.0,3,2,3,4,3,1,6,1153.0,4,0.0,408.0,1561.0,1,4,1,2,1561,0,0,1561,1.0,0.0,2,0,2,1,3,6,3,1,3,3,2.0,3,2.0,556.0,2,3,2,203,47,0,0,0,0,0,8,2007,2,2,277500.0,0,0,0,0,0,0,0,0,0,0,0
35,36,60,2,108.0,13418,1,0,1,1,0,0,15,2,1,4,5,8,5,2,1,0,0,6,6,3,132.0,2,2,3,4,3,3,5,0.0,4,0.0,1117.0,1117.0,1,4,1,2,1132,1320,0,2452,0.0,0.0,3,1,4,1,2,9,3,1,3,4,2.0,3,3.0,691.0,2,3,2,113,32,0,0,0,0,0,9,2006,2,2,309000.0,0,0,0,0,0,0,0,0,0,0,0
36,37,20,2,112.0,10859,1,0,1,1,2,0,11,2,1,4,4,5,5,15,14,0,0,6,6,0,0.0,1,2,3,3,3,1,5,0.0,4,0.0,1097.0,1097.0,1,4,1,2,1097,0,0,1097,0.0,0.0,1,1,3,1,1,6,3,0,0,3,14.0,1,2.0,672.0,2,3,2,392,64,0,0,0,0,0,6,2009,2,2,145000.0,0,0,0,0,0,0,0,0,0,0,0
37,38,20,2,74.0,8532,1,0,1,1,0,0,5,2,1,4,4,5,6,55,19,2,0,2,0,2,650.0,1,2,2,2,3,1,1,1213.0,4,0.0,84.0,1297.0,1,3,1,2,1297,0,0,1297,0.0,1.0,1,0,3,1,1,5,3,1,2,3,55.0,3,2.0,498.0,2,3,2,0,0,0,0,0,0,0,10,2009,2,2,153000.0,0,0,0,0,0,0,0,0,0,0,0
38,39,20,2,68.0,7922,1,0,1,1,0,0,5,2,1,4,4,5,7,57,3,0,0,6,6,0,0.0,1,1,2,2,3,1,6,731.0,4,0.0,326.0,1057.0,1,2,1,2,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,3,0,0,1,57.0,1,1.0,246.0,2,3,2,0,52,0,0,0,0,0,1,2010,2,0,109000.0,0,0,0,0,0,0,0,0,0,0,0
39,40,90,2,65.0,6040,1,0,1,1,0,0,2,2,1,1,4,4,5,53,53,0,0,0,5,0,0.0,1,2,3,0,1,0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,1152,0,0,1152,0.0,0.0,2,0,2,2,0,6,3,0,0,0,29.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,2008,2,1,82000.0,0,0,0,0,0,0,0,0,1,0,0
40,41,20,2,84.0,8658,1,0,1,1,0,0,5,2,1,4,4,6,5,41,41,0,0,2,0,2,101.0,1,2,2,2,3,1,1,643.0,4,0.0,445.0,1088.0,1,4,1,2,1324,0,0,1324,0.0,0.0,2,0,3,1,1,6,3,1,2,3,41.0,2,2.0,440.0,2,3,2,0,138,0,0,0,0,0,12,2006,2,0,160000.0,0,0,0,0,0,0,0,0,0,0,0
41,42,20,2,115.0,16905,1,0,1,1,0,0,14,2,1,4,4,5,6,48,48,0,0,6,6,0,0.0,1,1,2,2,3,4,2,967.0,4,0.0,383.0,1350.0,1,3,1,2,1328,0,0,1328,0.0,1.0,1,1,2,1,1,5,3,2,3,3,48.0,2,1.0,308.0,2,3,1,0,104,0,0,0,0,0,7,2007,2,2,170000.0,0,0,0,0,0,0,0,0,0,0,0
42,43,85,2,68.0,9180,1,1,1,1,4,0,7,2,1,4,0,5,7,24,24,0,0,3,4,0,0.0,1,2,2,3,3,3,4,747.0,2,93.0,0.0,840.0,1,3,1,2,884,0,0,884,1.0,0.0,1,0,2,1,2,5,3,0,0,3,24.0,2,2.0,504.0,2,2,2,240,0,0,0,0,0,0,12,2007,2,2,144000.0,1,0,0,0,0,0,0,0,0,0,0
43,44,20,2,68.0,9200,1,1,1,1,4,0,11,2,1,4,4,5,6,33,28,2,0,6,6,0,0.0,1,2,2,3,3,3,3,280.0,1,491.0,167.0,938.0,1,2,1,2,938,0,0,938,1.0,0.0,1,0,3,1,1,5,3,0,0,1,31.0,1,1.0,308.0,2,3,2,145,0,0,0,0,0,0,7,2008,2,2,130250.0,1,0,0,0,0,0,0,0,0,0,0
44,45,20,2,70.0,7945,1,0,1,1,0,0,5,2,1,4,4,5,6,47,47,0,0,5,0,0,0.0,1,2,2,2,3,1,4,179.0,1,506.0,465.0,1150.0,1,4,1,1,1150,0,0,1150,1.0,0.0,1,0,3,1,1,6,3,0,0,3,47.0,2,1.0,300.0,2,3,2,0,0,0,0,0,0,0,5,2006,2,2,141000.0,0,0,0,0,0,0,0,0,0,0,0
45,46,120,2,61.0,7658,1,0,1,1,0,0,15,2,1,3,4,9,5,5,5,2,0,1,1,2,412.0,3,2,3,4,3,1,6,456.0,4,0.0,1296.0,1752.0,1,4,1,2,1752,0,0,1752,1.0,0.0,2,0,2,1,3,6,3,1,3,3,5.0,2,2.0,576.0,2,3,2,196,82,0,0,0,0,0,2,2010,2,2,319900.0,0,0,0,0,0,0,0,0,0,0,0
46,47,50,2,48.0,12822,1,1,1,1,4,0,6,2,1,4,1,7,5,6,6,0,0,6,6,0,0.0,2,2,3,4,3,1,6,1351.0,4,0.0,83.0,1434.0,1,4,1,2,1518,631,0,2149,1.0,0.0,1,1,1,1,2,6,3,1,4,3,6.0,2,2.0,670.0,2,3,2,168,43,0,0,198,0,0,8,2009,2,0,239686.0,0,0,0,0,0,0,0,0,0,0,0
47,48,20,3,84.0,11096,1,0,1,1,0,0,13,2,1,4,4,8,5,1,1,0,0,6,6,0,0.0,2,2,3,3,3,3,6,24.0,4,0.0,1632.0,1656.0,1,4,1,2,1656,0,0,1656,0.0,0.0,2,0,3,1,2,7,3,0,0,3,1.0,2,3.0,826.0,2,3,2,0,146,0,0,0,0,0,7,2007,2,2,249700.0,0,0,0,0,0,0,0,0,0,0,0
48,49,190,1,33.0,4456,1,0,1,1,0,0,3,2,1,0,5,4,5,89,1,0,0,1,1,0,0.0,1,2,1,2,3,1,5,0.0,4,0.0,736.0,736.0,1,3,1,2,736,716,0,1452,0.0,0.0,2,0,2,3,1,8,3,0,0,0,30.0,0,0.0,0.0,0,0,0,0,0,102,0,0,0,0,6,2009,3,3,113000.0,0,0,0,0,0,0,0,0,1,0,0
49,50,20,2,66.0,7742,1,0,1,1,0,0,4,2,1,4,4,5,7,41,41,0,0,3,4,0,0.0,1,2,2,2,3,1,2,763.0,4,0.0,192.0,955.0,1,4,1,2,955,0,0,955,1.0,0.0,1,0,3,1,1,6,3,0,0,3,41.0,1,1.0,386.0,2,3,2,0,0,0,0,0,0,0,1,2007,2,2,127000.0,0,0,0,0,0,0,0,0,0,0,0
50,51,60,2,68.0,13869,1,3,1,1,2,0,10,2,1,4,5,6,6,10,10,0,0,6,6,0,0.0,1,2,3,3,3,3,6,182.0,4,0.0,612.0,794.0,1,3,1,2,794,676,0,1470,0.0,1.0,2,0,3,1,1,6,3,0,0,3,10.0,3,2.0,388.0,2,3,2,0,75,0,0,0,0,0,7,2007,2,2,177000.0,1,0,0,0,0,0,0,0,0,0,0
51,52,50,1,52.0,6240,1,0,1,1,0,0,1,2,1,4,1,6,6,72,56,0,0,2,0,0,0.0,1,2,3,2,3,1,5,0.0,4,0.0,816.0,816.0,1,2,1,2,816,0,360,1176,0.0,0.0,1,0,3,1,1,6,3,1,3,1,21.0,1,2.0,528.0,2,3,2,112,0,0,0,0,0,400,9,2006,2,2,114500.0,0,0,0,0,0,0,0,0,0,0,0
52,53,90,1,110.0,8472,0,3,0,1,2,1,0,3,1,1,4,5,5,47,47,0,0,2,0,0,0.0,0,2,2,3,3,4,3,104.0,5,712.0,0.0,816.0,1,2,0,2,816,0,0,816,1.0,0.0,1,0,2,1,1,5,3,0,0,2,47.0,1,2.0,516.0,2,3,2,106,0,0,0,0,0,0,5,2010,2,2,110000.0,0,0,0,0,0,0,0,0,0,0,0
53,54,20,2,68.0,50271,1,1,2,1,0,0,8,2,1,4,4,9,5,25,19,0,1,0,2,0,0.0,2,2,2,4,3,4,6,1810.0,4,0.0,32.0,1842.0,1,3,1,2,1842,0,0,1842,2.0,0.0,0,1,0,1,2,5,3,1,3,3,25.0,3,3.0,894.0,2,3,2,857,72,0,0,0,0,0,11,2006,2,2,385000.0,0,0,0,0,0,0,0,0,0,0,0
54,55,80,2,60.0,7134,1,0,0,1,0,1,5,2,1,4,3,5,5,52,52,0,0,1,1,0,0.0,1,2,2,2,3,1,4,384.0,4,0.0,0.0,384.0,1,2,1,2,1360,0,0,1360,0.0,0.0,1,0,3,1,1,6,1,1,2,1,45.0,1,2.0,572.0,2,3,2,0,50,0,0,0,0,0,2,2007,2,2,130000.0,0,0,0,0,0,0,0,0,0,0,0
55,56,20,2,100.0,10175,1,1,1,1,0,0,5,2,1,4,4,6,5,44,44,0,0,3,5,2,272.0,1,2,2,2,3,1,2,490.0,4,0.0,935.0,1425.0,1,3,1,2,1425,0,0,1425,0.0,0.0,2,0,3,1,1,7,3,1,3,3,44.0,2,2.0,576.0,2,3,2,0,0,0,407,0,0,0,7,2008,2,2,180500.0,0,0,0,0,0,0,0,0,0,0,0
56,57,160,3,24.0,2645,1,0,1,1,0,0,13,2,1,2,5,8,5,10,9,0,0,1,1,2,456.0,2,2,3,3,3,1,6,649.0,4,0.0,321.0,970.0,1,4,1,2,983,756,0,1739,1.0,0.0,2,1,3,1,2,7,3,0,0,3,10.0,3,2.0,480.0,2,3,2,115,0,0,0,0,0,0,8,2009,2,0,172500.0,0,0,0,0,0,0,0,0,0,0,0
57,58,60,2,89.0,11645,1,1,1,1,2,0,11,2,1,4,5,7,5,2,2,0,0,6,6,0,0.0,2,2,3,3,3,1,5,0.0,4,0.0,860.0,860.0,1,4,1,2,860,860,0,1720,0.0,0.0,2,1,3,1,2,7,3,0,0,3,2.0,2,2.0,565.0,2,3,2,0,70,0,0,0,0,0,8,2006,2,2,196500.0,0,0,0,0,0,0,0,0,0,0,0
58,59,60,2,66.0,13682,1,3,3,1,4,0,8,2,1,4,5,10,5,0,0,2,0,6,6,2,1031.0,3,2,3,4,3,4,5,0.0,4,0.0,1410.0,1410.0,1,4,1,2,1426,1519,0,2945,0.0,0.0,3,1,3,1,2,10,3,1,3,4,0.0,3,3.0,641.0,2,3,2,192,0,37,0,0,0,0,10,2006,3,3,438780.0,0,0,0,0,0,0,0,0,0,0,0
59,60,20,2,60.0,7200,1,0,0,1,0,0,11,2,1,4,4,5,7,36,36,0,0,3,4,0,0.0,1,2,2,2,3,3,4,632.0,4,0.0,148.0,780.0,1,4,1,2,780,0,0,780,0.0,0.0,1,0,2,1,1,4,3,0,0,1,35.0,1,1.0,352.0,2,3,2,196,0,0,0,0,0,0,1,2008,2,2,124900.0,0,0,0,0,0,0,0,0,0,0,0
60,61,20,2,63.0,13072,1,0,1,1,0,0,7,3,1,4,4,6,5,2,2,0,0,6,6,0,0.0,1,2,3,3,3,1,4,941.0,4,0.0,217.0,1158.0,1,4,1,2,1158,0,0,1158,1.0,0.0,1,1,3,1,2,5,3,0,0,1,0.0,1,2.0,576.0,2,3,2,0,50,0,0,0,0,0,5,2006,3,3,158000.0,0,0,0,0,0,0,0,0,0,0,0
